mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
11.68,3.74,13.26,74,0,306.33
23.2,9.51,18.62,0,0,745.94
22.88,9.2,18.62,0,0,747.08
25.63,10.19,18.62,0,0,643.6
29.33,7.58,18.62,16,0,703.4
31.29,6.38,18.62,4,0,792.78
1443.33,17.03,16.36,0,0,5.05
1462.5,14.98,16.36,6,0,57.74
1459.6,7.95,16.36,11,0,48.27
2128.59,35,14.06,0,1,1247.93
2357.9,30.53,9.39,0,1,0
1903.13,29.44,13.36,0,1,364.14
1991.94,24.33,13.02,0,0,749.95
2339.99,29.31,7.76,0,0,0
2427.61,26.03,7.76,0,0,0
2504.38,21.19,5.98,0,1,0
1850.82,26.23,9.31,0,0,61.44
1829.93,15.56,9.31,0,0,77.67
1884.67,26.69,9.31,0,1,57.91
926.53,17.18,29.29,0,0,106.49
886.6,4.93,26.89,0,0,187.13
881.33,13.72,26.89,0,1,0
882.44,7.09,24.49,12,0,393.5
896.88,3.5,24.49,0,0,1760.66
897,5.04,24.49,0,0,1771.95
895.75,5.87,24.49,0,0,1775.5
890.59,19.63,29.29,0,0,58.98
10.33,3.97,17.01,32,0,139.17
7,4.65,17.01,0,0,301.68
10.5,10.3,17.01,1,0,286.42
8.29,3.89,17.01,14,0,477.23
9,7.63,17.01,0,0,400.61
10.17,8.69,17.01,0,0,400.61
8,6.38,17.01,0,0,380.48
0.44,2.16,11.61,10,0,0
7,5.45,11.61,9,0,379.83
4.6,8.55,11.61,13,0,288
9.42,4.66,17.01,37,0,90.56
7.93,5.4,21.94,39,0,492.41
8.27,2.75,21.94,23,0,158.55
7,3.28,21.94,20,0,375.42
8.71,3.88,19.47,37,0,9.29
0.88,1.93,11.61,14,1,0
4.1,4.18,11.61,53,0,210.34
9.88,2.34,17.01,21,0,120.85
7.68,4.53,17.01,54,0,8.42
8.6,1.51,17.01,32,0,282.64
8.62,3.96,19.47,80,0,400.43
6.57,3.54,17.01,17,0,112.08
8.71,3.48,17.01,17,0,115.27
24.25,4.06,18.26,72,0,11.26
1072.02,21.4,10.06,0,0,0
880.33,14.1,29.29,0,1,69.81
910.59,14.12,24.49,0,0,461.25
1092.36,16.17,21.91,0,0,12
901.15,6.29,26.03,0,0,935.68
999.2,15.56,5.68,0,0,0
882.33,4.73,24.49,5,0,517.39
896.5,4.88,27.56,0,0,928.8
8.29,3.69,16.78,167,0,12.84
5.67,4.71,21.94,29,0,387.88
10.85,2.96,17.01,34,0,485.22
13.4,3.25,17.01,6,0,358.91
11.25,2.61,17.01,15,0,359.41
12.29,3.26,17.01,20,0,331.83
9.25,4.02,17.01,10,0,690.94
10.89,2.95,17.01,55,0,201.11
9.25,3.11,17.01,12,0,352.88
8.71,4.73,17.01,16,0,555.77
9.31,3.84,17.01,41,0,567.83
8,3.07,21.94,34,0,104.56
6.5,4.65,19.47,62,0,7.41
5,4.1,21.94,4,0,0
5,3.1,17.01,2,0,0
5.67,2.75,17.01,4,0,0
6.5,10.61,17.01,5,0,0
7.19,3.16,17.01,30,0,10.64
5.88,3.34,19.47,25,0,9.94
6.33,4.55,21.94,11,0,6.28
6,3.09,21.94,1,0,0
8.5,5.11,21.94,1,0,7.65
8.2,4.99,17.01,3,0,11.99
7.56,2.96,21.94,10,0,178.19
6.2,2.65,21.94,27,0,94.4
6.9,2.15,21.94,27,0,178.19
6.8,2.34,21.94,34,0,308.07
8,2.67,21.94,27,0,505.46
8.74,3.16,19.47,66,0,0
8.56,3.91,21.94,53,0,399.06
11,4.23,17.01,12,0,66.3
