mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
1064.89,11.4,9.34,0,0,129.34
1123.93,31.21,11.18,0,0,109.37
1076.42,16.34,11.18,0,0,205.16
842.55,19.95,12.56,0,0,0
11,7.17,25.7,3,0,1587
10,6.77,25.7,6,0,1599.96
10.5,7.35,25.7,4,0,1603.92
730.53,24.82,17.22,0,0,45.4
759.1,14.78,17.22,0,0,0
751.42,28.25,17.22,0,0,88.8
924,22.48,10.03,0,0,107.44
928.36,27.87,10.03,0,0,703.93
798.13,19.44,18.06,0,0,301.92
842.5,27.65,18.06,0,0,224.76
863.13,34.45,16.36,0,0,67.67
1141,12.84,11.21,0,0,79.01
1098.97,15.75,13.07,0,1,49.37
1126.11,24.6,16.36,0,0,249.48
1146.1,11.69,13.07,0,0,246.67
1074.85,22.82,13.07,0,0,123.66
1110.54,16.13,13.07,0,0,794.23
1083.99,32.9,13.07,0,1,17.32
1064.64,25.63,11.7,0,0,330.65
1073.81,17.43,11.7,0,0,210.71
1088.74,19.93,11.7,0,0,350.98
1036.69,47.16,11.7,0,0,31.36
1008.15,34.74,11.7,0,0,401.92
1018.15,29.96,11.7,0,0,477.14
847.1,17.01,11.51,0,0,490.29
838.36,16.16,11.51,0,0,217.3
870.17,25.46,16.36,0,0,82.94
811.78,24.78,16.36,0,0,0
28.6,13.2,17.11,6,0,179.08
886.37,11.48,16.06,0,0,0
880.15,11.76,16.06,1,0,32.59
1010.86,30,26.37,0,0,1769.71
888.4,7.38,24.49,0,0,1725.4
890.67,6.04,24.49,0,0,1871.27
970.71,30.14,27.34,0,0,1343.83
1065.63,32.5,27.56,0,0,2210.28
864.91,16.37,27.56,0,0,2068.23
910.17,9.25,27.56,0,0,18.07
1101.09,13.74,16.26,0,0,363
1092.15,27.49,27.56,0,0,574.26
1118.33,13.69,16.06,0,0,129.06
1098,20.97,13.51,0,0,803.53
1090.17,8.17,13.51,0,0,835.62
1093.09,8.23,0,0,0,558.21
1098.63,11.58,0,0,0,93.97
1140.96,9.8,11.76,0,0,126.47
1126.38,4.52,13.51,0,0,336.63
991,29.12,24.49,0,0,355.49
907,16.9,24.49,0,0,468.32
27.33,15.1,28.99,0,0,0
858,8.77,16.06,0,0,0
860.75,9.51,16.06,0,0,0
869.65,13.83,16.06,7,0,16.01
21.2,5.6,25.7,10,0,1501.71
22.67,5.62,25.7,8,0,1542.41
23.25,3.12,25.7,10,0,1563.54
19.6,7.25,25.7,5,0,1516.05
11.4,6.33,25.7,12,0,1330.53
8.67,2.43,23.24,3,0,94.52
13.16,4.83,13.11,0,0,98.29
14.67,3.68,13.11,0,0,277.86
16,6.94,13.11,0,0,105.42
10.83,5.37,13.11,0,0,140.31
12.6,4.04,13.11,0,0,107.15
13.8,2.02,13.11,0,0,235.59
21,4.41,19.3,5,0,147.33
890.88,12.5,16.06,0,0,103.17
36.07,6.71,17.11,10,0,357.24
24.5,9.15,16.61,0,0,401.81
23.66,7.55,16.61,0,0,136.3
29.6,4.57,25.7,4,0,1332.01
950.06,32.19,0,0,0,286.83
14.75,6.08,25.7,19,0,1137.24
7.63,4.36,25.7,22,0,263.32
917.64,20.44,16.06,0,0,18.96
920.5,13.35,16.06,0,0,0
22.56,12.65,26.2,0,0,0
48.79,15.95,26.2,0,0,259.19
547.02,28.01,31.06,0,0,9.92
4.18,7.34,28.46,16,0,38.64
9.29,7.01,28.46,18,0,27.57
6.12,3.8,28.46,47,0,42.67
6,4.34,28.46,8,0,0
8.08,3.61,27.08,120,0,160.62
6.9,5.49,28.46,48,0,339.63
6.09,4.49,28.46,4,0,221.37
8.2,3.3,28.46,17,0,368.89
9.5,4.64,28.46,3,0,378.97
8.1,5.49,28.46,63,0,563.37
7.83,4.06,28.46,18,0,161.36
8.36,4.85,28.46,18,0,37.11
6.6,3.83,28.46,9,0,147.48
8.88,3.1,28.46,35,0,145.44
11.89,5,28.46,12,0,214.9
11.33,5.7,28.46,5,0,171.82
7.5,5.13,28.46,31,0,411.29
10.62,3.79,13.21,37,0,43.1
10.79,3.64,28.46,55,0,585.31
6.21,3.33,23.54,34,0,304.09
5.08,3.64,18.62,30,0,24.55
15.3,5.32,15.66,0,0,85.96
7.3,2.27,28.46,23,0,1599.86
10,3.14,28.46,42,0,1253.14
8.4,2.82,13.21,6,0,140.09
8.5,2.75,13.21,18,0,72.78
9.5,3.33,13.21,6,0,312.57
4.25,4.88,13.21,0,0,140.09
5.57,3.3,13.21,19,0,10.22
6,2.07,13.21,3,0,132.63
6,3.09,13.21,2,0,104.24
7.11,2.64,13.21,22,0,33.73
6.33,3.05,13.21,18,0,35.48
7.71,2.86,13.21,5,0,140.69
2,1.28,13.21,2,0,5.01
6.6,2.95,13.21,2,0,64.16
2,2.82,13.21,1,0,0
4,4.83,13.21,10,0,12.72
5.2,3.65,13.21,11,0,28.57
9,4.62,13.21,3,0,0
11,5.6,13.21,7,0,35.85
26.64,6.18,17.11,28,0,58.62
5.5,4.66,18.18,5,0,267.03
21.25,6.11,17.11,9,0,345.33
1089.57,28.09,11.43,0,1,179.76
1121.67,47.01,11.76,0,0,52.48
1131,10.09,11.76,0,0,102.69
1090.33,62.98,11.76,0,0,300.24
1098,27.19,11.76,0,0,201.5
35.65,8.55,15.77,11,0,0
37.06,4.78,15.17,0,0,7.15
39,5.93,15.17,0,0,278.53
45,9.56,18.09,5,0,530.01
46.25,18.19,16.88,0,0,417.96
26.54,5.4,20.29,0,0,10
9.54,6.1,13.3,6,0,254.68
8.56,5.39,11.61,10,0,434.3
7.2,6.88,11.61,0,0,359.84
4.5,4.93,11.61,16,0,434.3
2.5,7.25,11.61,7,0,599.28
9,2.97,11.61,18,0,456.96
6.5,5.86,11.61,6,0,563.48
10,3.98,11.61,8,0,475.93
3.63,7.63,11.61,0,0,490.28
7.5,6.09,11.61,3,0,504.02
6.5,8.32,11.61,6,0,521.9
6,8.32,11.61,4,0,535.69
2.59,4.29,11.61,93,1,14.12
3,5.16,11.61,5,0,280.12
2.75,4.69,11.61,2,0,225.55
4.67,4.21,11.61,20,0,3.72
4.33,4.31,11.61,1,0,50.51
6,5.69,11.61,10,0,216.76
4.72,5.73,11.61,79,1,12.52
12.4,2.93,23.24,0,0,7.43
9.33,7.43,23.24,0,0,334.03
11.75,1.2,21.55,7,0,210.65
12.6,3.07,22.4,9,0,76.24
12,3.9,23.24,0,0,67.99
12,3.46,21.55,0,0,76.89
12.33,3.94,21.55,0,0,88.98
9.4,4.66,21.55,0,0,0.81
7.25,4.78,23.24,0,0,0
10,8.53,21.55,5,0,64.24
14,5.63,21.55,0,0,422.42
10.67,4.54,21.55,0,0,55.56
28,8.25,13.5,0,0,0
36.44,13.31,13.55,0,0,5.97
10.17,5.43,22.48,0,0,88.43
1.93,2.81,22.48,0,1,275.5
11.13,3.21,22.48,0,0,1.4
3,6.81,22.48,0,1,10.67
7.5,10.34,22.48,0,0,0
12.07,2.72,22.48,0,0,0
8.22,3.26,22.48,0,0,4.86
7.45,2.58,22.48,0,0,8.21
9.5,3.83,22.48,1,0,7.65
12,1.81,22.48,0,0,0
12.25,3.03,22.48,0,0,6.44
12.1,2.13,22.48,0,0,8.04
12.67,3.19,22.48,0,0,41.54
7.07,6.26,22.48,0,0,20.21
10.5,1.55,22.48,0,0,0
11.75,2.55,22.48,0,0,3.26
5.5,13.28,22.48,0,0,10.98
2.22,9.88,22.48,0,0,7.8
5.52,4.88,22.48,0,1,9.22
3,9.26,22.48,0,0,177.32
6.83,6.49,22.48,0,0,187.02
1.43,5.23,22.48,0,1,43.71
8.83,3.61,22.48,0,0,70.34
1.75,6.6,22.48,0,1,0
9.5,5.42,22.48,0,0,27.96
6.1,3.89,22.48,0,0,2.29
12.57,2.47,22.48,0,0,48.07
10.71,2.96,22.48,2,0,1.4
12,3.84,22.48,0,0,7.28
12.17,3.87,22.48,0,0,12.74
11.5,2.35,22.48,0,0,4.34
12.22,2.9,22.48,0,0,55.82
0,0,21.94,0,0,257.81
0,0,21.94,0,0,235.79
0,0,21.94,0,0,241.63
0,0,21.94,0,0,214.22
0,0,21.94,0,0,209.61
0,0,21.94,0,0,209.79
0.5,3.24,21.94,0,0,334.83
1.89,9.01,21.94,6,0,320.5
1.5,8.02,21.94,1,0,306.3
0,0,21.94,0,1,265.3
0,0,21.94,0,1,270.12
0,0,21.94,0,1,278.42
8.75,1.91,22.48,0,0,84.29
13.33,1.88,22.48,0,0,41.05
41,6.47,16.52,0,0,161.13
28.48,4.85,18.26,0,0,24.24
36.63,3.36,16.54,0,0,1.11
38,4.17,16.54,0,0,0
38,5.71,16.54,0,0,13.24
15,5.9,14.06,4,0,997.76
33.5,1.61,16.54,0,0,17.12
31,3.34,16.54,0,0,1.09
32.99,14.2,16.84,0,0,11.44
31,3.34,16.54,0,0,0
35.86,7.88,16.54,0,0,2.03
9.09,2.86,21.94,30,0,806.79
6.4,3.21,11.61,43,0,5.88
3.36,2.55,11.61,34,0,0
8.33,3.16,11.61,4,0,95.29
8.14,2.93,11.61,17,0,73.63
8.25,2.67,11.61,8,0,17.98
6.5,3.21,11.61,1,0,100.5
6,1.72,11.61,0,0,131.48
8,4.15,11.61,0,0,8.78
12.5,2.67,11.61,6,0,407.51
8.56,3.29,11.61,41,0,7.33
12,3.67,11.61,13,0,407.51
12.67,3.2,11.61,6,0,440.32
52.88,9.09,16.84,0,0,4.45
34.33,3.37,16.54,0,0,5.26
35,2.29,16.54,0,0,0
33.88,2.99,16.54,0,0,0.5
35,3.85,16.54,0,0,0
10.5,4.27,28.45,0,0,0
9.75,4.19,28.45,4,0,14.72
10.5,8.51,31.39,4,0,25.54
15,9.08,31.39,6,0,26.14
13.33,3.47,31.39,10,0,356.79
5,9.12,31.39,0,0,0.26
27.38,7.74,31.39,0,0,226.78
18.8,11.85,31.39,0,0,243.14
13,13.32,31.39,0,0,404.8
40,3.08,15.17,0,0,0
40,3.24,15.17,0,0,5.59
37.5,2.96,15.17,0,0,0
37,2.07,15.17,0,0,4.44
38,2.36,15.17,0,0,0
42.19,5.54,15.17,1,0,7.71
42.12,7.42,15.17,0,0,10.91
40.5,19.22,15.17,0,0,0
14,5.09,24.31,9,0,614.98
10.29,3.43,22.48,0,0,4
8,0.81,22.48,0,0,0
5.5,4.68,11.61,4,0,0
9.19,3.88,11.61,68,0,81.91
2.57,3.67,11.61,7,0,207.63
8.2,4.02,11.61,0,0,18.01
9.26,4.79,11.61,197,0,0
8.5,2.72,11.61,2,0,0
7.51,4.16,11.61,63,0,3.72
7.5,3.94,11.61,3,0,88.01
5.82,2.91,11.61,12,0,3.99
4,5.08,11.61,4,0,38.51
4,5.8,11.61,2,0,51.05
6,2.87,11.61,2,0,0
6,9.55,11.61,5,0,232.31
2.42,5.53,11.61,0,0,8.21
4.7,4.74,11.61,62,0,72.56
7,5.83,11.61,0,0,243.49
5.93,3.2,11.61,27,0,26.65
7.25,5.02,11.61,1,0,115.6
5.5,6.4,11.61,14,0,582.93
9.4,1.22,11.61,16,0,258.1
8.83,2.18,11.61,4,0,368.15
3.94,6.06,11.61,1,0,157.14
8.6,2.43,11.61,14,0,426.13
6.25,4.69,11.61,39,0,88.96
10.14,4.09,11.61,3,0,223.46
10.33,3.42,11.61,20,0,432.66
8.57,2.72,11.61,4,0,230.77
8.6,2.19,11.61,4,0,230.77
1459,12.11,16.36,3,0,8.16
1458,12.08,16.36,5,0,6.45
1457,5.44,16.36,2,0,0
1474.71,25.63,16.36,7,0,41.23
1561.78,31.04,27.2,0,0,183.66
175.5,26.69,14.03,5,0,79.93
160,5.59,14.03,0,0,13.14
1508.31,18.44,16.36,5,0,153.38
1510.8,13.59,16.36,0,0,136.79
1467.5,13.42,27.2,0,0,9.61
1489.5,40.61,21.78,0,0,63.18
1614.58,35.93,16.36,0,0,674.93
1668.5,33.1,16.36,0,0,745.69
1486.74,31.29,16.36,0,0,42.74
4.6,4.9,11.61,10,0,153.32
4.17,4.11,11.61,17,0,3.45
6,4.62,11.61,0,0,59.24
3.5,2.49,11.61,2,0,0
5.45,4.92,11.61,1,0,4.37
8.86,2.85,11.61,11,0,126.52
5.75,3.11,11.61,16,0,5.74
3,2.07,11.61,3,0,0
5.8,4.23,11.61,16,0,6.36
8.15,4.17,11.61,16,0,148.42
1.5,5.64,11.61,0,0,122.13
7.11,3.14,11.61,14,0,5.08
2.67,2.35,11.61,1,0,3.79
2.5,4.95,11.61,3,0,41
3,4.62,11.61,2,0,48.73
12,3.68,11.61,8,0,434.74
13,1.72,11.61,4,0,434.74
5.86,3.54,11.61,18,0,83.56
14.56,3.88,13.3,11,0,650.68
10.73,4.4,22.48,0,0,224.13
184.73,28.6,13.78,0,0,327.42
8.83,4.18,21.55,0,0,84.12
44.17,7.93,19.3,11,0,197.9
42.75,10.62,19.3,8,0,222.22
45,8,19.3,8,0,213.55
43.5,8.19,19.3,2,0,176.49
44.25,6.22,19.3,14,0,132.76
37.69,8.04,19.3,32,0,58.39
37,7.72,19.3,0,0,214.84
35.8,9.09,19.3,2,0,217.4
35.2,6.05,19.3,0,0,132.06
32.22,6.77,19.3,14,0,31.74
32.5,4.73,19.3,9,0,57.22
42,8.15,19.3,21,0,246.03
39.6,12.21,19.3,6,0,286.8
40,8.51,19.3,1,0,282.5
44,8.73,19.3,5,0,245.39
42.4,7.21,19.3,9,0,233.37
41,7.93,19.3,2,0,236.79
38.33,9.07,19.3,0,0,214.89
36.33,8.35,19.3,0,0,163.63
39.4,9.31,19.3,13,0,72.22
42,6.19,19.3,10,0,150.26
39.14,7.88,19.3,7,0,64.37
36.57,9.49,28.99,0,0,189.6
40.51,8.47,28.24,0,0,14.49
20,8.08,28.99,0,0,0
40.5,13.54,28.99,0,0,8.56
31.14,9.91,28.99,0,0,132.04
37.21,12.81,28.99,0,0,177.51
30.83,6.33,28.99,0,0,156.82
10,3.61,28.45,32,0,495.75
10,3.98,12.58,0,0,41.91
14.33,4.78,12.58,0,0,220.96
13,4.88,12.58,0,0,262.31
10.83,8.98,28.45,16,0,128.23
12.25,4.55,28.45,5,0,156.37
14.25,4.51,28.45,7,0,139.95
15,6.85,28.45,3,0,152.15
43.37,8.68,28.99,0,0,1.79
7.5,18.13,15.55,0,0,0
16.82,10.58,15.55,0,0,0
26.8,9.16,28.99,0,0,6.84
19,9.4,28.99,0,0,0
22.14,7.83,28.99,0,0,6.41
56,20.22,28.99,0,0,0.88
59.33,17.45,28.99,0,0,44.11
59.33,12.19,28.99,0,0,86.55
47.89,21.33,28.99,0,0,4.66
37.63,5.15,28.99,0,0,160.43
36,5.54,28.99,0,0,115.17
35.35,6.93,28.99,0,0,0
37,10.34,28.99,0,0,126.15
39,5.9,28.99,0,0,0
32.36,10.38,28.99,0,0,22.67
27.43,8.51,27.48,0,0,15.61
15,9.19,27.48,0,0,6.91
17.58,7.33,27.48,0,0,5.13
14.5,8.45,27.48,0,0,0
31,9.61,28.45,2,0,322.74
28,9.65,28.45,11,0,81.44
8.89,6.46,13.3,3,0,436.24
7,2.48,24.31,12,0,47.78
7.5,1.94,24.31,3,0,246.58
9.8,5.32,24.31,27,0,303.3
7.5,3.42,24.31,5,0,49.62
6.33,6.15,24.31,3,0,330.89
5,5.19,24.31,2,0,348.31
6,2.61,24.31,5,0,174.86
6.25,2.94,24.31,0,0,212.37
6.25,2.94,24.31,0,0,226.32
6.25,3.54,24.31,0,0,206.74
6.63,3.18,24.31,8,0,0
7.13,2.93,24.31,8,0,0
9,2.56,24.31,4,0,27.77
19,1.15,28.99,0,0,0
22.57,7.45,28.24,14,0,5.19
32.48,9.58,28.99,0,0,2.52
9.61,6.3,28,0,0,3.22
10.25,9.78,31.39,0,0,58.76
11.25,8.67,31.39,0,0,7.07
7.25,1.79,24.31,0,0,278.6
18,5.53,24.31,3,0,735.57
6,4.17,24.31,0,0,0
8.67,6.32,24.31,0,0,4.5
16.16,5.11,24.31,0,0,3.72
8.25,4.81,24.31,7,0,87.77
22,3.49,24.31,0,0,0
17.8,7.51,24.31,0,0,10.75
24.5,9.31,24.31,3,0,331.06
18.36,4.3,24.31,0,0,387.57
20.07,4.6,24.31,9,0,4.48
16.46,4.25,24.31,0,0,349.24
25,3.52,24.31,3,0,8.1
24,4.43,24.31,0,0,0
25.5,6.31,24.31,0,0,0
27,2.14,24.31,0,0,6.94
25.17,3.35,24.31,8,0,5.7
26.5,6.4,24.31,0,0,0
21.59,4.6,24.31,0,0,81.8
20.8,4.35,24.31,1,0,242.18
22.33,3.76,24.31,3,0,151.66
23.87,3.6,24.31,13,0,3.46
18.88,4.38,24.31,25,0,784.07
20.67,6.91,24.31,0,0,316.31
25.4,2.46,24.31,1,0,452.6
24.75,3.03,24.31,7,0,463.92
27.5,5.03,24.31,3,0,407.19
27.44,5.13,24.31,20,0,378.94
22.71,6.48,24.31,4,0,293.2
22.31,4.4,24.31,13,0,278.49
17.25,5.93,28.45,0,0,4.3
5.75,4.35,24.31,11,0,229.76
7.5,9.9,24.31,5,0,332.2
35.56,4.96,20.29,0,0,6.57
34.51,10.44,20.29,0,0,0
10.86,6.02,17.01,17,0,159.35
9,4.6,21.94,6,0,548.72
7.75,2.59,21.94,11,0,556.43
8.6,4.06,17.01,9,0,580.19
8,2.45,21.94,3,0,85.27
9,1.72,17.01,1,0,5.19
9,1.72,17.01,2,0,0
7.33,2.72,17.01,26,0,331.35
10.45,4.43,17.01,19,0,743.27
9.33,4.52,17.01,13,0,536.55
4.5,1.55,21.94,7,0,338.68
6.17,4.89,21.94,19,0,336.69
6,3.63,21.94,4,0,438.06
6,3.63,21.94,2,0,434.84
8,6.9,21.94,1,0,373.32
7.33,5.14,21.94,8,0,375.61
8,7.28,21.94,2,0,471.93
4.18,1.48,21.94,28,0,535.35
6.14,3.35,21.94,20,0,578.41
6.71,2.92,21.94,16,0,392.3
6.71,2.24,21.94,4,0,288.28
0.22,4.06,16.78,24,0,305.63
1,2,11.61,3,0,248.98
7,1.81,17.01,3,0,0
7,2.47,17.01,4,0,379.37
7,3.8,21.94,8,0,349.81
7.33,5.03,20.56,6,0,450.35
9,5.62,20.56,6,0,476.84
10.72,5.51,20.56,56,0,494.56
8.26,4.27,18.78,72,0,415.57
9.75,2.91,20.56,7,0,477.13
10,2.77,17.01,9,0,398.29
6.23,3.16,11.61,31,0,0
4.91,6.35,11.61,29,1,0
9,1.72,20.56,4,0,697.54
11.8,4.33,18.62,15,0,280.7
9.5,2.98,25.7,10,0,229.43
9.6,3.67,28.46,4,0,294.67
12.6,3,13.3,6,0,541.02
9.13,4.94,28.46,21,0,241.12
9.8,6.44,21.61,0,0,459.64
14,9.19,21.55,0,0,528.74
9.5,5.33,21.68,3,0,141.72
13.25,3.11,21.68,7,0,216.04
8,3.49,21.68,5,0,42.78
13.12,4.5,21.68,45,0,130.92
10,6.2,18.18,2,0,0
9.78,3.81,18.18,25,0,3.5
34.56,11.54,32.34,3,0,321.1
11.83,4.88,25.7,17,0,312.9
10.75,4.69,21.55,0,0,142.95
10.73,3.7,18.18,30,0,449.25
12.25,3.63,25.7,10,0,334.64
10,1.61,18.18,24,0,344.21
28.14,6.41,18.26,61,0,8.81
20,9.24,18.26,3,0,0
27.1,6.27,18.26,0,0,4.13
10.82,3.46,18.18,27,0,482.38
9.4,2.52,25.7,12,0,122.18
23.7,9.63,19.79,8,0,1673.98
10.17,2.3,18.18,34,0,449.25
39,14.87,19.79,0,0,1672.95
49,10.2,19.79,9,0,1541.99
7.58,5,25.7,33,0,60.14
5.25,3.58,25.7,6,0,2.85
12.89,6.38,28.28,0,0,339.65
10,6.41,28.28,0,0,440.75
9,5.44,28.28,0,0,461.69
11.86,6.76,28.28,0,0,473.5
8.65,4.84,25.7,42,0,13.59
9,3.49,24.31,0,0,277.45
8,2.74,24.31,0,0,294.91
8,2.74,24.31,0,0,294.91
7.67,4.08,24.31,7,0,344.26
7,1.72,24.31,0,0,335.36
9.5,3.1,24.31,2,0,374.76
9,4.82,24.31,15,0,245.54
10,6.82,24.31,0,0,377.77
8.5,7.39,24.31,0,0,376.42
9.89,5.45,24.31,2,0,347.77
7.43,4.78,24.31,0,0,367.35
13,2.76,28.45,16,0,460.39
7,4.48,28.45,4,0,455.66
27.67,8.76,20.38,1,0,16.79
27,9.46,20.38,0,0,19.39
9.67,4.54,22.48,0,0,43.74
14.5,9,31.39,5,0,445.24
15.5,4.05,31.39,5,0,453.7
17.13,4.53,31.39,19,0,498.77
14,9.24,31.39,9,0,441.75
5.75,3.21,28.46,9,0,711.85
5.3,3.31,28.46,24,0,602.24
6.13,3.21,28.46,22,0,544.49
5.17,5.06,28.46,27,0,470.12
5,7.26,20.83,0,0,435.74
21.67,11.12,25.7,22,0,332.33
26.54,14.33,25.7,23,0,303.85
29.81,13.61,25.7,58,0,501.65
14.21,13.41,31.39,26,0,456.96
11.25,2.66,28.46,23,0,319.64
10.88,4.13,28.46,43,0,617.32
13,3.57,28.46,38,0,785.48
12.75,13.28,25.7,3,0,387.85
8.72,13.02,25.7,45,0,470.85
9,14.16,25.7,6,0,459.2
9,2.87,31.39,0,0,318.04
8.67,3.22,31.39,0,0,346.63
8,5.08,31.39,6,0,384.37
4.56,4.58,11.61,31,0,417.01
28.5,6.64,31.39,19,0,504.47
10.5,10.95,21.94,15,0,506.85
11.5,9.94,21.94,4,0,517.06
9.2,2.61,28.46,12,0,678.96
8,0.57,28.46,1,0,720.13
7.35,4.42,28.46,25,0,506.76
9,10.54,28.46,5,0,1.29
7.43,6.76,28.46,8,0,0.03
6.6,5.89,28.46,22,0,27.73
7.54,4.26,28.46,42,0,20.58
9.13,3.26,28.46,15,0,26.94
6,6.1,28.46,17,0,216.84
7.48,3.48,28.46,48,0,609.66
21.31,12.33,31.39,36,0,209.12
3.5,3.75,31.39,20,0,37.73
9,4.41,28.46,10,0,31.35
1.96,9.57,18.18,82,0,113.46
5.78,4.02,28.46,24,0,396.31
7.67,3.8,28.46,26,0,269.25
10.95,3.47,25.7,56,0,71.38
16.5,6.11,25.7,20,0,634.11
9.76,3.98,25.7,69,0,76.46
7,3.24,28.46,3,0,651.56
7,4.57,28.46,6,0,625.7
7.67,1.65,28.46,5,0,646.02
7,1.73,28.46,8,0,638.59
1.47,6.5,25.7,57,0,374.3
8.5,1.67,22.48,5,0,10.25
1.25,5.61,22.48,0,1,23.95
111,22.36,29.44,0,0,477.18
96.75,16.42,29.44,0,0,462.91
89.75,31.52,29.44,0,0,434.4
777.03,33.77,13.38,0,0,538.66
35.33,16.01,15.64,0,0,651.36
26.95,6.43,19.79,2,0,161.12
42.24,9.27,19.79,7,0,6.4
5,2.92,18.62,0,0,0
33.32,11.39,18.62,42,0,7.7
9.13,7.74,18.62,3,0,30.16
29.77,5.65,19.79,0,0,868.43
33,6.05,19.79,0,0,1168.78
33.3,9.72,19.79,7,0,1403.87
50.8,9.67,19.79,0,0,762.55
7.55,5.11,25.7,33,0,132.06
6,3.12,28.46,16,0,625.17
5.8,2.63,28.46,15,0,611.14
5.33,4.8,28.46,17,0,630.41
9,2.37,28.46,16,0,296.92
9.5,3.99,28.46,8,0,429.25
9.5,4.47,28.46,37,0,300.74
8.83,2.55,28.46,3,0,11.76
6.83,3.47,28.46,11,0,178.54
8,1.79,28.46,1,0,38.61
8.67,3.73,28.46,7,0,160.52
9.25,2.68,28.46,9,0,173.4
9.25,2.87,28.46,34,0,178.54
7.91,4.45,21.94,24,0,144.04
10.07,17.25,31.39,40,0,138.63
8.47,4.84,31.39,45,0,494.21
20,14.95,31.39,4,0,126.69
11,5.98,31.39,4,0,87.18
8.67,10.91,31.39,8,0,73.34
6.88,9.76,31.39,42,0,32.78
15,11.97,31.39,31,0,92.97
16.44,16.57,31.39,25,0,88.19
10.63,2.84,25.7,24,0,947.71
7.29,4.95,21.94,52,0,772.86
24.5,19.69,25.7,14,0,509.54
17.8,18.03,25.7,8,0,513.13
30.8,10.64,25.7,27,0,547.5
10,1.81,28.46,0,0,633.06
9,3.63,28.46,0,0,643.99
8.5,5.19,28.46,7,0,690.35
9,3.63,28.46,1,0,669.55
8.33,2.62,28.46,7,0,668.56
16.5,6.19,31.39,0,0,104.9
16.16,9.35,31.39,3,0,168.58
8,2.06,28.46,12,0,265.25
7.75,2.23,28.46,7,0,315.73
8.5,2.05,28.46,7,0,300.82
1.5,4.36,31.39,8,0,88.31
2,7.18,31.39,4,0,109.27
1.5,5.21,31.39,5,0,99.9
5.82,9.33,31.39,46,0,49.43
2,4.51,31.39,8,0,289.89
2,4.51,31.39,5,0,289.89
3.25,12.03,31.39,1,0,347.65
0.5,6.86,31.39,9,0,215.94
0.18,5.25,31.39,47,0,241.63
0.67,12.11,31.39,5,0,351.23
1.67,15.74,31.39,5,0,368.27
1.25,8.81,31.39,8,0,337.94
4,15.47,31.39,4,0,368.62
8.67,13.52,31.39,19,0,196.59
4.67,3.21,25.7,10,0,15.02
6.14,5.69,25.7,15,0,30.51
14.23,6.85,25.7,28,0,0.52
9.75,6.96,25.7,31,0,571.83
9.77,3.2,25.7,22,0,448.83
8.9,2.61,28.46,33,0,515.19
10.75,10.16,25.7,12,0,422.23
15.5,8.54,25.7,14,0,365.05
18,8.29,25.7,20,0,439.16
1,4.07,25.7,11,0,14.16
4.88,4,31.39,33,0,40.8
7.4,3.27,31.39,9,0,101.53
6.75,3.57,31.39,7,0,103.71
2.2,2.4,31.39,32,0,0
1.79,3.15,31.39,40,0,96.8
10.04,11.66,31.39,26,0,116.55
5.07,3.54,31.39,42,0,48.11
2.67,4.59,31.39,9,0,193.44
8.7,8.4,31.39,52,0,383.82
5.31,7.76,25.01,12,0,118.46
15.22,10.38,27.08,16,0,427.86
21,15.81,31.39,1,0,437.03
17.14,15.01,31.39,0,0,444.03
34.92,17.76,31.39,5,0,507.08
12.6,1.92,25.7,9,0,797.57
15.39,3.41,25.7,54,0,705.37
9.38,5.01,28.46,63,0,621.85
11.6,16.88,31.39,19,0,311.61
7.75,6.64,13.21,18,0,39.68
10.17,5.89,31.39,5,0,491.05
14.94,5.69,20.98,100,0,56.57
43.33,8.91,31.39,0,0,498.31
31.07,14.68,31.39,23,0,130.19
7.8,3.25,18.18,9,0,340.33
9.06,3.25,18.18,42,0,314.31
16.14,3.71,25.7,9,0,1030.69
32.33,3.07,31.39,6,0,547.94
31.38,4.46,31.39,12,0,499.4
4.2,4.03,28.46,1,0,414.41
5.09,4.62,28.46,7,0,209.13
11.5,12.49,25.7,21,0,402.14
5.5,6.39,28.46,9,0,513.66
4.86,5.04,28.46,7,0,424.88
5.14,4.64,28.46,17,0,806.53
46.5,15.77,31.39,7,0,436.36
48,14.04,31.39,18,0,417.94
14.08,4.31,25.7,46,0,871.32
4,4.45,28.46,5,0,671.28
4.88,4.55,28.46,16,0,619.35
12.67,2.66,13.21,22,0,526.6
10.92,3.23,25.7,44,0,365.6
3,4.73,28.46,12,0,952.69
5.86,3.78,13.21,31,0,610.21
24.6,12.52,31.39,0,0,274.36
9.11,3.85,13.21,13,0,96.77
0,0,21.94,0,0,161.17
0,0,21.94,0,1,114.26
5.33,8.9,27.08,3,0,468.45
9.8,9.64,27.08,32,0,273.23
9,7.25,28.46,5,0,309.21
9.5,4.91,28.46,7,0,337.33
4.33,9.23,28.46,0,0,318.5
11.15,7.83,28.46,6,0,303.84
7.42,5.81,28.46,29,0,274.93
9.23,3.02,28.46,29,0,44.87
5.25,4.62,28.46,12,0,272.6
10.38,3.23,28.46,52,0,770.23
8,2.02,28.46,13,0,610.5
9,4.09,28.46,17,0,642.6
6.8,3.41,28.46,14,0,505.67
9.6,1.82,28.46,7,0,447.46
9.82,3.81,28.46,26,0,512.58
11.13,5.11,28.46,4,0,380.04
3.75,8.32,28.46,10,0,596.79
