osm_id,mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness_values,flooded,elevation,slope,precipitation,permeability
31716361,1124.19,28.73,11.20,0,1,4.47,1.40,2.79,10.00
596727242,802.52,29.83,11.22,0,1,3.19,1.46,2.79,10.00
623390485,1022.09,28.94,11.29,0,1,4.06,1.41,2.82,10.00
435284007,1090.20,26.02,11.43,0,1,4.33,1.27,2.86,10.00
688302088,1089.57,28.09,11.43,0,1,4.33,1.37,2.86,10.00
838578141,2143.91,38.05,11.43,0,1,8.52,1.86,2.86,10.00
622285637,1709.94,30.00,11.50,0,1,6.79,1.47,2.88,10.00
848118067,818.74,22.45,11.51,0,1,3.25,1.10,2.88,10.00
799399391,811.36,23.64,11.51,0,1,3.22,1.15,2.88,10.00
848150892,810.38,24.51,11.51,0,1,3.22,1.20,2.88,10.00
848145542,807.82,27.25,11.51,0,1,3.21,1.33,2.88,10.00
857207950,866.42,28.87,11.51,0,1,3.44,1.41,2.88,10.00
623251905,941.52,32.85,11.51,0,1,3.74,1.61,2.88,10.00
623374897,891.08,33.52,11.51,0,1,3.54,1.64,2.88,10.00
848090054,863.57,34.19,11.51,0,1,3.43,1.67,2.88,10.00
848153352,855.92,44.80,11.51,0,1,3.40,2.19,2.88,10.00
848096383,908.27,46.03,11.51,0,1,3.61,2.25,2.88,10.00
848089658,870.92,50.86,11.51,0,1,3.46,2.49,2.88,10.00
848098316,939.67,52.51,11.51,0,1,3.73,2.57,2.88,10.00
159793334,536.87,43.70,11.51,0,1,2.13,2.14,2.88,10.00
623313069,947.36,47.54,11.60,0,1,3.76,2.33,2.91,10.00
1051235639,3.50,4.01,11.61,0,1,0.01,0.19,2.91,10.00
619418348,1.58,4.30,11.61,0,1,0.01,0.21,2.91,10.00
792242109,2.25,7.51,11.61,0,1,0.01,0.36,2.91,10.00
619418349,4.15,7.62,11.61,0,1,0.02,0.37,2.91,10.00
804858878,840.26,25.62,11.70,0,1,3.34,1.25,2.94,10.00
622946083,925.00,31.20,11.70,0,1,3.67,1.53,2.94,10.00
623030242,867.56,32.68,11.70,0,1,3.45,1.60,2.94,10.00
616817950,855.69,33.33,11.70,0,1,3.40,1.63,2.94,10.00
804858879,831.50,36.50,11.70,0,1,3.30,1.79,2.94,10.00
617336882,861.34,20.54,11.73,0,1,3.42,1.00,2.95,10.00
623553711,892.22,27.12,11.87,0,1,3.54,1.33,2.99,10.00
397302222,914.03,29.53,11.87,0,1,3.63,1.44,2.99,10.00
618980775,1925.50,27.59,11.99,0,1,7.65,1.35,3.03,10.00
622916989,1942.88,28.55,11.99,0,1,7.72,1.40,3.03,10.00
858206104,1736.20,28.67,11.99,0,1,6.90,1.40,3.03,10.00
619202549,1942.78,35.46,11.99,0,1,7.72,1.73,3.03,10.00
622298198,1885.80,35.85,11.99,0,1,7.49,1.75,3.03,10.00
622285623,2025.17,36.23,11.99,0,1,8.04,1.77,3.03,10.00
622285625,1974.30,36.29,11.99,0,1,7.84,1.77,3.03,10.00
622916980,1713.26,37.59,11.99,0,1,6.81,1.84,3.03,10.00
371748279,721.31,22.15,12.25,0,1,2.87,1.08,3.11,10.00
665201547,716.08,28.73,12.25,0,1,2.84,1.40,3.11,10.00
668547059,413.82,35.21,12.25,0,1,1.64,1.72,3.11,10.00
668547052,438.65,46.14,12.25,0,1,1.74,2.26,3.11,10.00
962618689,516.00,54.81,12.25,0,1,2.05,2.68,3.11,10.00
617360435,487.15,36.49,12.38,0,1,1.94,1.78,3.15,10.00
962297030,739.25,62.46,12.38,0,1,2.94,3.06,3.15,10.00
378103136,993.03,31.45,12.39,0,1,3.94,1.54,3.15,10.00
623324952,1038.62,36.13,12.39,0,1,4.13,1.77,3.15,10.00
618151421,412.32,31.71,12.45,0,1,1.64,1.55,3.17,10.00
622934729,865.41,32.85,12.51,0,1,3.44,1.61,3.19,10.00
617341426,600.52,37.42,12.51,0,1,2.39,1.83,3.19,10.00
928741765,853.00,44.90,12.51,0,1,3.39,2.20,3.19,10.00
868265624,335.38,48.05,12.51,0,1,1.33,2.35,3.19,10.00
668563138,294.48,54.25,12.51,0,1,1.17,2.66,3.19,10.00
961952455,820.20,55.90,12.51,0,1,3.26,2.74,3.19,10.00
668563136,554.83,59.48,12.51,0,1,2.20,2.91,3.19,10.00
961951619,575.61,64.27,12.51,0,1,2.29,3.15,3.19,10.00
961953196,754.33,68.93,12.51,0,1,3.00,3.38,3.19,10.00
668952634,440.53,51.88,12.53,0,1,1.75,2.54,3.19,10.00
962146075,327.04,39.62,12.55,0,1,1.30,1.94,3.20,10.00
962146077,331.00,50.72,12.55,0,1,1.31,2.48,3.20,10.00
853001840,4.88,4.89,12.58,0,1,0.02,0.24,3.21,10.00
960788211,1.60,5.08,12.58,0,1,0.01,0.24,3.21,10.00
363268640,7.67,11.49,12.58,0,1,0.03,0.56,3.21,10.00
623282978,1002.79,20.11,12.67,0,1,3.98,0.98,3.24,10.00
623275810,1001.75,42.44,12.67,0,1,3.98,2.08,3.24,10.00
617956854,529.44,30.53,12.92,0,1,2.10,1.49,3.31,10.00
844576960,1949.45,28.30,13.02,0,1,7.74,1.38,3.34,10.00
100521984,2.77,7.25,13.04,0,1,0.01,0.35,3.35,10.00
363634739,5.00,9.34,13.04,0,1,0.02,0.45,3.35,10.00
934913980,3.53,5.07,13.07,0,1,0.01,0.24,3.36,10.00
934910893,2.33,6.09,13.07,0,1,0.01,0.29,3.36,10.00
619461169,4.88,6.87,13.07,0,1,0.02,0.33,3.36,10.00
672963089,1098.97,15.75,13.07,0,1,4.37,0.77,3.36,10.00
798038543,1026.03,31.04,13.07,0,1,4.08,1.52,3.36,10.00
672963102,1083.99,32.90,13.07,0,1,4.31,1.61,3.36,10.00
797981870,1072.53,39.58,13.07,0,1,4.26,1.94,3.36,10.00
623195058,740.45,20.10,13.12,0,1,2.94,0.98,3.37,10.00
810830267,840.55,21.43,13.12,0,1,3.34,1.05,3.37,10.00
849273476,2.14,6.17,13.21,0,1,0.01,0.30,3.40,10.00
616821567,841.45,23.39,13.24,0,1,3.34,1.14,3.41,10.00
856346919,954.84,26.87,13.24,0,1,3.79,1.31,3.41,10.00
50917806,1903.13,29.44,13.36,0,1,7.56,1.44,3.45,10.00
622981537,293.82,44.50,13.37,0,1,1.17,2.18,3.45,10.00
617705605,1121.50,15.53,13.51,0,1,4.45,0.76,3.49,10.00
623031250,1133.70,20.86,13.54,0,1,4.50,1.02,3.50,10.00
189017822,354.84,24.01,13.61,0,1,1.41,1.17,3.52,10.00
623313038,927.67,47.23,13.65,0,1,3.68,2.31,3.53,10.00
